,Name,Mail,Score,WantsMore
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno,mail.de.test,987,YES
,Nuno,mail.de.test,987,YES
,Nuno,mail.de.test,987,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Test,bla bla bla,987,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,bla,bla bla,987,YES
,bla,bla bla,987,YES
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,bla,bal bal,987,YES
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,LOL,trololol,987,YES
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Nuno Monteiro,mail@mail.com,999,YES
,Bruno Varela,mail2@mail.com,998,NO
,Mikie Ribeiro,mail3@mail.com,997,NO
,Unity,lolTrol,987,YES
,WINNER,adsdasd,987,NO
